Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,FindACopy,Database
"Woman gets probation, restitution in connection with theft of benefits","  According to court documents, a friend of McKenney's, Barbara Winter, had been receiving dependency and compensation from the Veteran's Administration after the death of Winter's husband in 1989.",1790069338,Newspapers,"McLaughlin, Ryan",, (Copyright 2016 Bangor Daily News), News," May 19, 2016",0892-8738, English, English,," Bangor, Me.","May 19, 2016",Bangor Daily News,2016,https://www.proquest.com/newspapers/woman-gets-probation-restitution-connection-with/docview/1790069338/se-2?accountid=8505,,,, n/a,," Federal court decisions , Criminal sentences",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Woman+gets+probation%2C+restitution+in+connection+with+theft+of+benefits&amp;rft.au=McLaughlin%2C+Ryan&amp;rft.aulast=McLaughlin&amp;rft.aufirst=Ryan&amp;rft.date=2016-05-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
"Child abuse suspect will have mental evaluation: Ordered in anticipation of a guilty plea, the exam could shape probation conditions for Loni Ingalls.","  Loni D. Ingalls, 36, is charged with three counts of sexual abuse of a minor - all involving the same boy who was 14 at the time - as well as unlawful furnishing and unlawful possession of hydrocodone.",1787893711,Newspapers,"Adams, Betty",," Copyright Portland Newspapers May 11, 2016", News," May 11, 2016",2689-5900, English, English,," Portland, Me.","May 11, 2016",Portland Press Herald,2016,https://www.proquest.com/newspapers/child-abuse-suspect-will-have-mental-evaluation/docview/1787893711/se-2?accountid=8505,,,, B.2,," Sex crimes , Criminal investigations",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Child+abuse+suspect+will+have+mental+evaluation%3A+Ordered+in+anticipation+of+a+guilty+plea%2C+the+exam+could+shape+probation+conditions+for+Loni+Ingalls.&amp;rft.au=Adams%2C+Betty&amp;rft.aulast=Adams&amp;rft.aufirst=Betty&amp;rft.date=2016-05-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Orono Pharmacy owner on professional probation hires pharmacist,"  Aghamoosa admitted in the consent agreement that he charged a customer's insurance company for three prescriptions that were not filled in 2015, that he allowed a pharmacist from Jordan to practice in his pharmacy without a valid license and that he lied on his annual license application by saying he had completed the required two hours of continuing education.",1787133120,Newspapers,"Ricker, NokNoi",, (Copyright 2016 Bangor Daily News), News," May 5, 2016",0892-8738, English, English,," Bangor, Me.","May 5, 2016",Bangor Daily News,2016,https://www.proquest.com/newspapers/orono-pharmacy-owner-on-professional-probation/docview/1787133120/se-2?accountid=8505,,,, n/a,," Education , Agreements , Consent decrees , Regulation of financial institutions , Drug stores , Consent",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Orono+Pharmacy+owner+on+professional+probation+hires+pharmacist&amp;rft.au=Ricker%2C+NokNoi&amp;rft.aulast=Ricker&amp;rft.aufirst=NokNoi&amp;rft.date=2016-05-05&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
"Ex-teacher pleads guilty to child porn: Gerald White, a former Portland High School art teacher, is given 90 days and six years probation.",  Portland High teacher sentenced on child porn charges A former art teacher at Portland High School pleaded guilty Wednesday to a child pornography charge and was sentenced to 90 days in jail.,1786758273,Newspapers,"Dolan, Scott",," Copyright Portland Newspapers May 5, 2016", News," May 5, 2016",2689-5900, English, English,," Portland, Me.","May 5, 2016",Portland Press Herald,2016,https://www.proquest.com/newspapers/ex-teacher-pleads-guilty-child-porn/docview/1786758273/se-2?accountid=8505,,,, B.2,," Children & youth , Criminal sentences , Child pornography , Criminal investigations , Art teachers",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Ex-teacher+pleads+guilty+to+child+porn%3A+Gerald+White%2C+a+former+Portland+High+School+art+teacher%2C+is+given+90+days+and+six+years+probation.&amp;rft.au=Dolan%2C+Scott&amp;rft.aulast=Dolan&amp;rft.aufirst=Scott&amp;rft.date=2016-05-05&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Oxford County Jail arrest log,"  * Jason Michael Priest, 27, Otisfield, probation violation, 12:42 p.m., April 25, Maine Department of Parole and Probation, Paris. * Rebecca L. Jacques, 42, Andover, probation violation, theft, 5:48 p.m., April 26, Andover, Oxford County Sheriff.",1785127007,Newspapers,,," Copyright Sun Journal Apr 28, 2016", News," Apr 28, 2016",, English, English,," Lewiston, Me.","Apr 28, 2016",Sun Journal,2016,https://www.proquest.com/newspapers/oxford-county-jail-arrest-log/docview/1785127007/se-2?accountid=8505,,,, n/a,," Gilmore, Reece",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Oxford+County+Jail+arrest+log&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2016-04-28&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
"Former tribe employee on probation for theft: Stephen E. Crawford had pleaded guilty to embezzling $25,000 from the Passamaquoddy Tribe.","  ""When confronted by the Passamaquoddy Tribe at Pleasant Point on February 6, 2012, and again by EPA investigators on December 6, 2013, the defendant admitted that he had personally been reimbursed for expenses for which the Passamaquoddy Tribe at Pleasant Point had already paid him, and admitted that he knew it was wrong,"" Assistant U.S. Attorney F. Todd Lowell wrote in a prosecution document filed with the court.",1782384277,Newspapers,"Dolan, Scott"," Passamaquoddy Tribe , District Court-US"," Copyright Portland Newspapers Apr 21, 2016", News," Apr 21, 2016",2689-5900, English, English,," Portland, Me.","Apr 21, 2016",Portland Press Herald,2016,https://www.proquest.com/newspapers/former-tribe-employee-on-probation-theft/docview/1782384277/se-2?accountid=8505,,,, C.3,," Federal court decisions , Criminal sentences , Embezzlement , Maine , North Carolina",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Former+tribe+employee+on+probation+for+theft%3A+Stephen+E.+Crawford+had+pleaded+guilty+to+embezzling+%2425%2C000+from+the+Passamaquoddy+Tribe.&amp;rft.au=Dolan%2C+Scott&amp;rft.aulast=Dolan&amp;rft.aufirst=Scott&amp;rft.date=2016-04-21&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=C.3&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Ex-tribal employee gets 1 year probation after paying restitution,"  The former environmental director for the Passamaquoddy Tribe at Pleasant Point was sentenced Tuesday in U.S. District Court to one year of probation for embezzling more than $25,000 over six years.",1782260068,Newspapers,"Harrison, Judy", Environmental Protection Agency--EPA, (Copyright 2016 Bangor Daily News), News," Apr 19, 2016",0892-8738, English, English,," Bangor, Me.","Apr 19, 2016",Bangor Daily News,2016,https://www.proquest.com/newspapers/ex-tribal-employee-gets-1-year-probation-after/docview/1782260068/se-2?accountid=8505,,,, n/a,," Federal court decisions , Criminal sentences , Parole & probation , Embezzlement , United States--US , North Carolina",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Ex-tribal+employee+gets+1+year+probation+after+paying+restitution&amp;rft.au=Harrison%2C+Judy&amp;rft.aulast=Harrison&amp;rft.aufirst=Judy&amp;rft.date=2016-04-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
Man on probation accused of stealing tools from Chelsea barn,"  Among the items Michael Freeman, 28, is accused of taking include a boat motor and chain saws, many of which wound up at a pawn shop, according to Department of Public Safety spokesman Stephen McCausland.",1777512475,Newspapers,"McLaughlin, Ryan",, (Copyright 2016 Bangor Daily News), News," Mar 31, 2016",0892-8738, English, English,," Bangor, Me.","Mar 31, 2016",Bangor Daily News,2016,https://www.proquest.com/newspapers/man-on-probation-accused-stealing-tools-chelsea/docview/1777512475/se-2?accountid=8505,,,, n/a,, Pawn shops,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Man+on+probation+accused+of+stealing+tools+from+Chelsea+barn&amp;rft.au=McLaughlin%2C+Ryan&amp;rft.aulast=McLaughlin&amp;rft.aufirst=Ryan&amp;rft.date=2016-03-31&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
Libby's 60-year sentence seems punitive,"  Thirty years ago, he killed his grandfather by drowning - he has been in prison for 30 years and will remain there for a further 30 years because Maine does not offer parole. [...]in 30 years' time, a man in his early 80s will be released into a world with which he is completely unfamiliar (no Internet, no Twitter, no Facebook in prison).",1775783369,Newspapers,," Democratic Party , Republican Party"," Copyright Portland Newspapers Mar 26, 2016", Editorial," Mar 26, 2016",2689-5900, English, English,," Portland, Me.","Mar 26, 2016",Portland Press Herald,2016,https://www.proquest.com/newspapers/libbys-60-year-sentence-seems-punitive/docview/1775783369/se-2?accountid=8505,,,, A.1,," Political parties , Criminal sentences , Firearms , Firearm laws & regulations",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Libby%27s+60-year+sentence+seems+punitive&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2016-03-26&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
"Orono Pharmacy owner fined, put on probation for unprofessional conduct","  According to the document, on or about May 13, 2015, Aghamoosa received a prescription with three refills for Denavir 1 percent cream.",1772498005,Newspapers,"Ricker, NokNoi",, (Copyright 2016 Bangor Daily News), News," Mar 11, 2016",0892-8738, English, English,," Bangor, Me.","Mar 11, 2016",Bangor Daily News,2016,https://www.proquest.com/newspapers/orono-pharmacy-owner-fined-put-on-probation/docview/1772498005/se-2?accountid=8505,,,, n/a,," Fines & penalties , Insurance companies , Agreements , Consent decrees , Regulation of financial institutions , Pharmacists , Consent , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Orono+Pharmacy+owner+fined%2C+put+on+probation+for+unprofessional+conduct&amp;rft.au=Ricker%2C+NokNoi&amp;rft.aulast=Ricker&amp;rft.aufirst=NokNoi&amp;rft.date=2016-03-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
Board puts Falmouth psychiatrist on probation for medicine practice,  The Portland Press Herald reports (http://bit.ly/1nhN2Np ) the state medical board placed Dr. Reinaldo De los Heros on six months of probation in a Feb. 24 consent agreement released Monday.,1769862985,Newspapers,,," Copyright Sun Journal Mar 2, 2016", News," Mar 2, 2016",, English, English,," Lewiston, Me.","Mar 2, 2016",Sun Journal,2016,https://www.proquest.com/newspapers/board-puts-falmouth-psychiatrist-on-probation/docview/1769862985/se-2?accountid=8505,,,, n/a,,,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Board+puts+Falmouth+psychiatrist+on+probation+for+medicine+practice&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2016-03-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Falmouth doctor placed on probation: But the mother of a patient who overdosed says he overprescribed drugs and the punishment is too light.,"  Lawlor 30"" w/mug shot photos The state medical board has placed a Falmouth psychiatrist on six months of probation for the way he practiced medicine leading up to the 2015 drug overdose death of one of his patients, a punishment that the patient's mother says isn't nearly severe enough. De los Heros was placed on probation in a Feb. 24 consent agreement with the Maine licensing board for failing to coordinate Deyo's care with her primary care physicians and poor documentation of her visits, including a lack of or incomplete treatment notes or treatment notes that were illegible, according to the agreement, which was released Monday.",1769563965,Newspapers,"Lawlor, Joe",," Copyright Portland Newspapers Mar 2, 2016", News," Mar 2, 2016",2689-5900, English, English,," Portland, Me.","Mar 2, 2016",Portland Press Herald,2016,https://www.proquest.com/newspapers/falmouth-doctor-placed-on-probation/docview/1769563965/se-2?accountid=8505,,,, A.1,," Suicides & suicide attempts , Physicians , Mental disorders , Licenses , Parole & probation , Anxieties , Drug dosages , Psychosis , Massachusetts , Maine , New Hampshire",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Falmouth+doctor+placed+on+probation%3A+But+the+mother+of+a+patient+who+overdosed+says+he+overprescribed+drugs+and+the+punishment+is+too+light.&amp;rft.au=Lawlor%2C+Joe&amp;rft.aulast=Lawlor&amp;rft.aufirst=Joe&amp;rft.date=2016-03-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Rumford lawyer appeals probation,"  He objects to the requirement that he stop litigation, writing in his petition that his law practice is ""exclusively litigation,"" and arguing that the ""panel seemed not to realize the ramifications of its de facto suspension as it mistakenly stated in its order that ([Seth Carey]) could focus on the non-litigation portion of his practice."" Carey referred to the panel's order to refrain from representing clients in litigation as a ""troubling and damaging error"" and wrote that the panel's order would result in his ""law practice and reputation being essentially destroyed beyond repair."" In his dissent, Chairman Peter Fessenden said his chief concerns were Carey's ""insulting and ineffective ad hominem attacks on witnesses that persisted despite repeated rulings from the chair that they had no relevance to the issues presented in this case,"" and ""a steady flow of bizarre pleadings and pretrial motions that betrayed a profound disregard of due process and applicable procedures under the Maine Bar Rules.""",1768073101,Newspapers,"Williams, Christopher",," Copyright Sun Journal Feb 25, 2016", News," Feb 25, 2016",, English, English,," Lewiston, Me.","Feb 25, 2016",Sun Journal,2016,https://www.proquest.com/newspapers/rumford-lawyer-appeals-probation/docview/1768073101/se-2?accountid=8505,,,, n/a,," Carey, Seth",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Rumford+lawyer+appeals+probation&amp;rft.au=Williams%2C+Christopher&amp;rft.aulast=Williams&amp;rft.aufirst=Christopher&amp;rft.date=2016-02-25&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Rumford lawyer put on probation for competency concerns,"  One judge observed: ""there 'was a fair piece of real estate between the lower end of competence and (Attorney [Seth Carey]'s) performance,' and that he was 'close to the bottom of the barrel' of all lawyers he had seen,"" according to the report. A complaint brought by one of the judges questioned Carey's competence to handle criminal matters in her courtroom. In the earlier suspension, Maine Supreme Judicial Court Associate Justice Andrew Mead ordered Carey to ""demonstrate that he has undertaken further education in trial advocacy and professional ethics"" before he could be reinstated. In early January, on behalf of the town of Dixfield and five volunteers who have been caring for stray cats in Dixfield for decades, Carey filed suit in Oxford County Superior Court against the attorney representing the estate of Barbara Thorpe and the estate's trustees. In the suit, Carey alleges that Rumford attorney David Austin and Trustees Gertrude Crosby, Bentley Crosby and Charlotte Mesko have improperly managed the estate and failed to fulfill Thorpe's wishes to donate the bulk of her estate to the ""abandoned and unwanted cats of Dixfield.""",1767805799,Newspapers,"Williams, Christopher",," Copyright Sun Journal Feb 24, 2016", News," Feb 24, 2016",, English, English,," Lewiston, Me.","Feb 24, 2016",Sun Journal,2016,https://www.proquest.com/newspapers/rumford-lawyer-put-on-probation-competency/docview/1767805799/se-2?accountid=8505,,,, n/a,," Carey, Seth , Fessenden, Peter , Austin, David",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Rumford+lawyer+put+on+probation+for+competency+concerns&amp;rft.au=Williams%2C+Christopher&amp;rft.aulast=Williams&amp;rft.aufirst=Christopher&amp;rft.date=2016-02-24&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Palmyra man gets 45 years for 2013 murder in Detroit: Jason Cote mentions the unrelated investigation of missing Waterville toddler Ayla Reynolds.,"  Thibodeau said she wished Maine had the death penalty. Parole was abolished in Maine decades ago, and there is no capital punishment in Maine, Horton pointed out.",1764829218,Newspapers,"Harlow, Doug",," Copyright Portland Newspapers Feb 13, 2016", News," Feb 13, 2016",2689-5900, English, English,," Portland, Me.","Feb 13, 2016",Portland Press Herald,2016,https://www.proquest.com/newspapers/palmyra-man-gets-45-years-2013-murder-detroit/docview/1764829218/se-2?accountid=8505,,,, B.2,," Capital punishment , Criminal sentences , Self defense , Murders & murder attempts , Maine , Reynolds, Ayla",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Palmyra+man+gets+45+years+for+2013+murder+in+Detroit%3A+Jason+Cote+mentions+the+unrelated+investigation+of+missing+Waterville+toddler+Ayla+Reynolds.&amp;rft.au=Harlow%2C+Doug&amp;rft.aulast=Harlow&amp;rft.aufirst=Doug&amp;rft.date=2016-02-13&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Sebago man gets probation for theft of prescription shipments,,1760402555,Newspapers,"McLaughlin, Ryan",, (Copyright 2016 Bangor Daily News), News," Jan 26, 2016",0892-8738, English, English,," Bangor, Me.","Jan 26, 2016",Bangor Daily News,2016,https://www.proquest.com/newspapers/sebago-man-gets-probation-theft-prescription/docview/1760402555/se-2?accountid=8505,,,, n/a,,,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Sebago+man+gets+probation+for+theft+of+prescription+shipments&amp;rft.au=McLaughlin%2C+Ryan&amp;rft.aulast=McLaughlin&amp;rft.aufirst=Ryan&amp;rft.date=2016-01-26&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
Police log,"  [bullet] Ty Taylor, 54, of 130 Oxford St., Lewiston, probation hold, 10:03 a.m. Tuesday at 140 Canal St., Lewiston by Probation and Parole Officers. [bullet] Cars driven by Susan Dufour, 54, of Caswell and Kacie Parker, 36, of Auburn collided, 2:11 p.m. Sunday, Jan. 17, on Bosse Street. Dufour's 1998 Toyota and Parker's 2007 Saab received functional damage. [bullet] Vehicles driven by Lawrence Turcotte, 75, of Greene and Viroon Suthambhitak, 58, of Sabattus collided, 2:52 p.m. Sunday on East Avenue.Turcotte's 2015 Toyota and Suthambhitak's 2013 Honda received functional damage.",1760230021,Newspapers,,," Copyright Sun Journal Jan 26, 2016", News," Jan 26, 2016",, English, English,," Lewiston, Me.","Jan 26, 2016",Sun Journal,2016,https://www.proquest.com/newspapers/police-log/docview/1760230021/se-2?accountid=8505,,,, n/a,,,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Police+log&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2016-01-26&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Cummings sentenced to life for murder of 92-year-old: The judge in the case says a life term with no parole was warranted for the killing of Aurele Fecteau.,"  The state, through Assistant Attorneys General Leane Zainea and Donald Macomber, had sought a sentence of 55 years, saying in a sentencing memo that Fecteau ""suffered multiple injuries that involved extreme savagery"" and that the crime was the ""ultimate act of elder abuse.""",1758850130,Newspapers,"Adams, Betty",," Copyright Portland Newspapers Jan 22, 2016", News," Jan 22, 2016",2689-5900, English, English,," Portland, Me.","Jan 22, 2016",Portland Press Herald,2016,https://www.proquest.com/newspapers/cummings-sentenced-life-murder-92-year-old/docview/1758850130/se-2?accountid=8505,,,, B.2,," Attorneys , Murders & murder attempts , Trials , Criminal sentences",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Cummings+sentenced+to+life+for+murder+of+92-year-old%3A+The+judge+in+the+case+says+a+life+term+with+no+parole+was+warranted+for+the+killing+of+Aurele+Fecteau.&amp;rft.au=Adams%2C+Betty&amp;rft.aulast=Adams&amp;rft.aufirst=Betty&amp;rft.date=2016-01-22&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Woman gets probation for theft from Sullivan post office,"  BANGOR, Maine -- A Winter Harbor woman was sentenced Wednesday in U.S. District Court to three years probation for stealing more than $1,600 from money order payments while working as a relief postmaster in Sullivan, according to the U.S. attorney's office.",1758613640,Newspapers,"Harrison, Judy", United States Postal Service, (Copyright 2016 Bangor Daily News), News," Jan 20, 2016",0892-8738, English, English,," Bangor, Me.","Jan 20, 2016",Bangor Daily News,2016,https://www.proquest.com/newspapers/woman-gets-probation-theft-sullivan-post-office/docview/1758613640/se-2?accountid=8505,,,, n/a,, Postal & delivery services,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Woman+gets+probation+for+theft+from+Sullivan+post+office&amp;rft.au=Harrison%2C+Judy&amp;rft.aulast=Harrison&amp;rft.aufirst=Judy&amp;rft.date=2016-01-20&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
